日期,市場,價格
2014-02-23,橋頭市場,
2014-02-24,國民市場,166.0
2014-02-24,鹽埕示範,150.0
2014-02-24,新興第二,
2014-02-24,三民第二,166.0
2014-02-24,左營第四,
2014-02-24,鼓山第三,150.0
2014-02-24,楠梓市場,200.0
2014-02-24,三民第一,
2014-02-24,苓雅市場,166.0
2014-02-24,中華市場,166.0
2014-02-24,旗山第一,0.0
2014-02-24,鳳山第一,0.0
2014-02-24,岡山文賢,0.0
2014-02-24,大寮大發,0.0
2014-02-24,橋頭市場,167.0
2014-02-25,國民市場,166.0
2014-02-25,鹽埕示範,150.0
2014-02-25,新興第二,167.0
2014-02-25,三民第二,166.0
2014-02-25,左營第四,167.0
2014-02-25,鼓山第三,150.0
2014-02-25,楠梓市場,200.0
2014-02-25,三民第一,183.0
2014-02-25,苓雅市場,166.0
2014-02-25,中華市場,166.0
2014-02-25,旗山第一,133.0
2014-02-25,鳳山第一,150.0
2014-02-25,岡山文賢,167.0
2014-02-25,大寮大發,168.0
2014-02-25,橋頭市場,167.0
2014-02-26,國民市場,166.0
2014-02-26,鹽埕示範,150.0
2014-02-26,新興第二,167.0
2014-02-26,三民第二,166.0
2014-02-26,左營第四,
2014-02-26,鼓山第三,150.0
2014-02-26,楠梓市場,200.0
2014-02-26,三民第一,183.0
2014-02-26,苓雅市場,166.0
2014-02-26,中華市場,166.0
2014-02-26,旗山第一,133.0
2014-02-26,鳳山第一,150.0
2014-02-26,岡山文賢,167.0
2014-02-26,大寮大發,168.0
2014-02-26,橋頭市場,167.0
2014-02-27,國民市場,
2014-02-27,鹽埕示範,150.0
2014-02-27,新興第二,167.0
2014-02-27,三民第二,166.0
2014-02-27,左營第四,167.0
2014-02-27,鼓山第三,150.0
2014-02-27,楠梓市場,200.0
2014-02-27,三民第一,183.0
2014-02-27,苓雅市場,166.0
2014-02-27,中華市場,166.0
2014-02-27,旗山第一,133.0
2014-02-27,鳳山第一,150.0
2014-02-27,岡山文賢,183.0
2014-02-27,大寮大發,160.0
2014-02-27,橋頭市場,167.0
2014-02-28,國民市場,
2014-02-28,鹽埕示範,
2014-02-28,新興第二,
2014-02-28,三民第二,
